Primary ID	Win001_C01	Win001_C02	Win001_C03	Win001_C04	Win001_C05	Win001_C06	Win001_C07	Win001_C08	Win001_C09	Win001_C10	Win001_C11	Win002_C01	Win002_C02	Win002_C03	Win002_C04	Win003_C01	Win003_C02	Win003_C03	Win003_C04	Win003_C05	Win003_C06	Win003_C07	Win003_C08	Win003_C09	Win004_C01	Win004_C02	Win004_C03	Win004_C04	Win004_C05	Win004_C06	Win004_C07	Win005_C01	Win005_C02	Win005_C03	Win005_C04	Win005_C05	Win005_C06	Win006_C01	Win006_C02	Win006_C03	Win006_C04	Win006_C05	Win006_C06	Win006_C07	Win006_C08	Win006_C09	Win007_C01	Win008_C01	Win008_C02	Win008_C03	Win008_C04	Win008_C05	Win009_C01	Win009_C02	Win009_C03	Win009_C04	Win009_C05	Win009_C06	Win009_C07	Win009_C08	Win010_C01	Win010_C02	Win010_C03	Win010_C04	Win010_C05	Win011_C01	Win011_C02	Win011_C03	Win011_C04	Win011_C05	Win011_C06	Win012_C01	Win012_C02	Win012_C03	Win012_C04	Win012_C05	Win012_C06	Win012_C07	Win013_C01	Win013_C02	Win013_C03	Win013_C04	Win014_C01	Win014_C02	Win014_C03	Win014_C04	Win014_C05	Win014_C06	Win015_C01	Win015_C02	Win015_C03	Win015_C04	Win015_C05	Win015_C06	Win015_C07	Win015_C08	Win016_C01	Win016_C02	Win016_C03	Win016_C04	Win016_C05	Win016_C06	Win016_C07	Win017_C01	Win017_C02	Win017_C03	Win017_C04	Win017_C05	Win017_C06	Win018_C01	Win018_C02	Win018_C03	Win019_C01	Win019_C02	Win019_C03
000	1208610	43374	146506	156429	494	4197	24581	27700	4098	0	212	4	2077	1556	8341	2389	644	8	15	55276	1114	697	784	255	691	406	2705	910	1611	146	581	3526	0	730	0	554	1754	29620	390	513	717	762	53	1539	223	1254	5464	304	969	329	3560	989	2103	537	326	42	1035	128	309	2910	0	28739	244	3340	4452	2258	1235	2887	292	13	262	1378	3672	527510	210	1551	413	1781	8520	376	107502	261	0	1749	34	3748	139	2980	353	601	128	267	2018	24705	1615	133	1469	329	492	426	43	0	11925	11	129353	437	22	134142	939	261010	189	2712	6748	4759	134049
001	24702252	1526687	3048376	976455	593444	8616071	1222846	1465585	236821	5240154	156399	1631812	2852643	72571	806775	115475	116848	391112	34693	174745	147848	142381	594453	1955463	30855	42550	140597	10444	92899	133480	7812	77034	483185	116692	59231	114420	24776	599303	72377	12750	122314	52490	143087	168460	1008	61108	2794955	159295	164788	138719	44248	46369	101589	180661	46952	3175	4063	7167	142934	46129	187853	38639	1138773	118324	61092	318893	123723	43392	69294	10346	53523	130833	17099	955	58268	406616	82932	225975	139464	13599	28357	29976	105033	47248	25989	21940	348170	32724	9065	10842	19249	2117	13432	17299	5499	10932	22508	75934	32941	17229	14436	176550	77962	23372	1702	2067	139	4741	60683	5260	1126	190283	14049	44900	771
002	27843471	1356911	3300021	848060	493207	10958049	1451300	1726811	268365	6172179	121199	1707953	3314536	83807	958350	154240	121523	410937	24600	165990	190259	185900	623749	1933669	31073	23223	133988	2097	119142	144735	14009	2832	182386	143437	57065	128024	4496	735083	107200	9700	176872	31093	220234	210364	80	78165	5235126	115975	475401	200356	32449	98015	18449	62318	49785	4096	5748	6475	361490	47540	156212	41679	3003385	190063	70117	41	308305	44398	149965	93	39760	287250	39858	1243	2353	1092811	215850	188302	378674	11580	30871	2091	293861	34428	34571	25491	5525	50886	7005	7656	2376	764	10567	473	37441	2291	4063	74	646	17842	0	197737	124117	55	4627	8747	1851	1757	50390	2093	1206	130674	4331	1606	2843
003	33683832	2491596	3170888	933894	473722	5914735	1480719	1222905	372814	4021563	206552	1254516	2345099	108496	1071891	104491	121470	417419	54545	189814	144553	164528	429596	1159833	26003	646342	130848	37287	148640	220552	11219	38345	433810	140236	818415	141463	43789	515071	99490	76742	96055	246702	62260	181416	198	17882	1513705	217512	29104	208347	79058	28459	266463	73471	47774	2700	5602	58962	25274	55165	365858	5292	360596	88648	31424	84068	24862	118331	4484	133863	136026	24880	17913	2647	11528	53156	21738	454563	56368	41413	28826	5268	7712	121065	3596	47718	123080	35812	9051	25820	3192	475	11345	948	1382	7874	1716	6623	2785	40111	3927	2333	41336	3213	5360	148	976	451	115110	3110	3182	215883	4096	4675	3
004	47457591	1935688	4461530	1159752	416063	17524794	2025803	1548852	394650	8387701	191454	2353899	3869300	92735	1445063	196586	159753	655049	65474	194240	347790	291976	767133	1979667	42557	157399	178962	7552	246611	274588	11583	7650	315692	312629	74059	261753	14841	1556715	75593	57311	295718	78168	190485	529439	34371	128030	3545052	424718	159891	298902	68558	37836	21545	281123	55371	50277	13179	79461	269617	80319	364977	87731	1261146	194984	96539	1744030	169294	81196	89582	16594	75123	159251	162838	3281	227427	451001	145159	267835	197976	28111	35506	204589	135523	40314	79561	25645	1467136	46795	11637	12837	90836	34876	27528	95662	23622	20758	35249	395148	172062	37841	76554	303087	118548	107437	4460	7439	1814	262	47939	2590	12852	170895	112824	227921	3118
005	34434346	1539952	3573783	1085378	611183	13930924	1691636	1948399	347622	7622231	190153	2238103	4072820	93167	1166467	232094	163039	497276	110065	217962	238929	255443	865722	2339475	36113	78316	144966	25671	193062	280639	15742	21055	453284	206047	89955	227778	37323	1121267	60644	23971	222495	137723	250102	312784	73944	95999	4574600	313432	305455	233690	86470	72075	17695	231100	79562	68367	12135	33234	303475	78792	252970	81423	2193882	121561	135644	772498	213432	93641	116973	23527	85863	203442	39832	903	105688	730638	171299	262752	224636	25346	37144	65834	215869	50281	34416	27864	793030	63654	10417	16181	47221	12727	14379	36673	44365	15583	27218	216987	80407	31277	41033	490286	226064	61498	3392	4894	923	3989	80227	1345	5864	164948	45808	144228	11
006	30983392	1542762	3134047	932921	492739	12007400	1502897	1747515	297134	6514236	132596	1903755	3436070	69851	944229	155668	150564	406910	43547	186402	206102	216382	613281	1739741	28362	51418	115042	6127	141135	133547	8876	50183	319325	161088	74116	135835	6007	983914	31487	1818	170400	60023	166067	282108	23236	78909	4150174	198493	291959	210457	49273	72233	25494	40874	40155	37695	2796	6661	266634	58932	197675	49351	2084663	87535	47051	1015609	268051	48865	113043	18153	62822	190047	44821	1110	141240	774675	154990	209198	319851	35796	43223	80462	194712	33724	44509	11621	947051	66524	3795	9121	68957	12281	17288	51769	24851	34871	59007	322400	103779	16010	46966	189435	209706	69104	7056	8404	3513	137	52608	3703	6207	130609	65324	109445	1171
007	35015935	1591643	3851738	1058354	963329	13729482	1691476	1690297	308273	7315064	201986	2290596	3723632	102196	1161919	131475	120149	436319	245016	202208	201209	196801	945698	2286663	40334	151140	134000	34105	158534	213236	3894	149268	597944	216396	159250	231293	45780	938839	65225	45169	140393	189792	199719	277934	94520	65088	4064951	288074	253008	228846	127474	50136	31627	178621	41747	48624	20995	43247	250876	42381	288146	134777	1929651	170919	58159	802841	157371	126974	77646	49311	60991	221036	89042	782	100183	536842	183689	309510	207999	10508	38211	41634	175091	53668	36598	14502	805295	42008	25842	8670	33853	11109	27703	57301	37169	3544	5872	186233	96872	17817	47646	817663	147307	70927	3952	3881	3406	4268	44353	3176	14293	126885	63420	316023	3706
008	29161872	2204058	3196159	961152	246016	10617827	1526421	1584432	351732	5904456	140779	1934481	3535307	69969	1049902	161288	167743	440463	34535	219315	199975	254399	687486	1814700	35018	46208	123241	24606	167719	291846	19961	44469	448447	155323	76540	139162	19071	921195	51898	21243	141852	134349	163203	285271	18250	56296	3324595	273638	224255	211444	62981	49022	34925	92222	37743	5139	5170	32589	218537	62351	286873	63557	1523614	150621	96284	444902	215347	58244	94051	48345	82183	143491	40841	1087	66419	609833	120409	224731	234328	22753	39206	47922	146516	59065	41578	27871	457147	38832	3081	17143	28903	6455	11630	18650	10654	21012	41013	135079	39623	20147	18464	164664	93724	32862	6942	5498	559	1747	70717	4205	816	175749	22509	37870	1540
009	25884494	1246020	2883037	836897	397135	12009437	1437136	1570974	297495	6228164	101588	2024468	3572908	78634	1043497	213122	142726	407645	105951	149149	206681	240612	680508	1945116	32605	29552	116619	22016	138777	176938	13399	73057	509653	185423	113873	132747	23535	1012943	50577	9108	169583	67773	151170	255747	58227	73875	3860021	246392	266102	222811	61134	53238	30731	73439	31691	40305	14521	16273	245534	77815	159289	87124	1973666	59999	90404	710533	216760	74104	84698	23938	47578	190528	47228	660	102051	696838	153146	268880	241343	35676	44640	69261	200105	28530	41945	25521	664487	41844	4380	9055	38065	10117	16701	36839	34111	21863	36654	184651	66304	15420	30067	357924	152085	54441	6106	4464	2862	1541	43189	6607	3347	118006	52304	98721	564
